stt,kanji,hanviet,hiragana,mean,vidu,dichvidu
,隠す,Ẩn,かくす,Che giấu,お金を引き出しの奥に隠した。,
,が埋まる,Mai,うまる,Bị lấp/chôn,山がくずれて家が埋まってしまった。,
,埋める,Mai,うめる,Chôn lấp,穴を掘ってゴミを埋めた。,
,囲む,Vi,かこむ,"Bao quanh, vây hãm",テーブルを囲んで座る。,
,が詰まる,Cật,つまる,"Chặt, đầy",かばんにたくさん荷物が詰まっていて重い。,
,詰める,Cật,つめる,"Nhét vào, tống vào",かばんに荷物を詰める。,
,開く,Khai,ひらく,Mở,ドアが開く。,
,閉じる,Bế,とじる,Đóng,エスカレーターが閉じた。,
,が飛ぶ,Phi,とぶ,Bay,鳥が空を飛んでいる。,
,飛ばす,Phi,とばす,Làm cho bay,紙飛行機を飛ばす。,
,振る,Chấn,ふる,Vẫy (tay),”この飲み物はよく振ってからお飲み下さい”,
,捲る,Quyển,めくる,"Xắn, quấn",カレンダーを捲る。,
,見かける,Kiến,みかける,Tình cờ gặp,道で偶然、昔の友達を見かけた。,
,確かめる,Xác,たしかめる,"Xác nhận, kiểm tra",ファックスが届いたかどうか、相手に電話して確かめた。,
,試す,Thí,ためす,Mặc thử,洋服が似合うかどうか、着て試してみた。,
,洋服,Dương phục,ようふく,Quần áo kiểu Tây Âu,,
,繰り返す,Sào phản,くりかえす,Lặp lại,”同じ失敗を繰り替えてはいけません”,
,体操する,Thể thao,たいそうする,Tập thể dục,,
,訳す,Dịch,やくす,Dịch,英語を日本語に訳す。,
,行う,Hành,おこなう,Tổ chức,試験を行う。,
,が間違う,Gian vi,まちがう,Bị sai,お金があれば幸せになれると言うのは間違った考えだ。,
,間違える,Gian vi,まちがえる,Làm sai,テストの答えを間違えた。,
,許す,Hứa,ゆるす,"Tha thứ, tha lỗi",罪を許される。,
,謝る,Tạ,あやまる,Xin lỗi,ひどいことを言われてけんかになったが、相手が謝ってので許してあげた。,
,が慣れる,Quán,なれる,Quen,日本へ来て半年経たって、生活にも慣れた。,
,慣らす,Quán,ならす,"Làm quen, khởi động",準備運動をして体を慣らしてからプールに入った方がいい。,
,が立つ,Lập,たつ,Bị đứng,”名前を呼ばれたら立ってください”,
,立てる,Lập,たてる,Đứng lên,屋根の上にアンテナを立てる。,
,が建つ,Kiến,たつ,Được xây,家の前に大きなマンションが建った。,
,建てる,Kiến,たてる,Xây lên,都心に家を建てるのは大変だ。,
,が育つ,Dục,そだつ,"Lớn lên, khôn lớn",雨が多い年は米がよく育つ。,
,育てる,Dục,そだてる,"Nuôi, dạy",母は５人の子供を育てた。,
,が生える,Sinh,はえる,"Mọc, phát triển",髪が生える。,
,生やす,Sinh,はやす,Để dài (râu),髭を生やす。,
,が汚れる,Ô,よごれる,Bị bẩn,空気の汚れたところには住みたくない。,
,汚す,Ô,よごす,Làm bẩn,どろ遊びをして服を汚した。,
,が壊れる,Hoại,こわれる,Bị hỏng,壊れた時計を直してもらった。,
,壊す,Hoại,こわす,Làm hỏng,息子は新しいおもちゃをすぐに壊してしまう。,
,が割れる,Cát,われる,Bị vỡ,（ガラス／皿／コップ。。）が割れる。,
,割る,Cát,わる,Làm vỡ,卵を割ってボウルに入れる。,
,が折れる,Triết,おれる,Gãy,強い風で枝が折れた。,
,折る,Triết,おる,Làm gãy,スキーをして、足の骨を折った。,
,が破れる,Phá,やぶれる,Rách,（紙／本／布。。）が破れる。,
,破る,Phá,やぶる,Xé rách,（約束／基礎記。。。）を破る。,
,が曲がる,Khúc,まがる,"Bị gập, cong",”この角を右に曲がって５０mほど行くと、銀行があります”,
,曲げる,Khúc,まげる,"Gập, bẻ cong",（針金／ひざ／腰。。。）を曲げる。,
,が外れる,Ngoại,はずれる,"Rời ra, tách ra",ボタンが外れる。,
,外す,Ngoại,はずす,"Làm rời ra, tách ra",（メガネ／腕時計／ボタン。。。）を外す。,
,が揺れる,Dao,ゆれる,Bi rung,風で木の葉が揺れている。,
,揺らす,Dao,ゆらす,"Rung, đung đưa",子供の乗ったブランコを揺らして遊ばせた。,
,が流れる,Lưu,がながれる,"Chảy, trôi đi",町の中心を大きな川が流れている。,
,流す,Lưu,ながす,Cho chảy,汚れた水を川に流してはいけない。,
,都心,Đô tâm,としん,Trung tâm,,
,が濡れる,Nhu,ぬれる,Bị ướt,雨に濡れて、風邪をひいた。,
,濡らす,Nhu,ぬらす,Làm ướt,水をこぼして、服を濡らしてしまった。,
,が迷う,Mê,まよう,Lạc đường,日本で就職するか、国に帰るか、迷っている。,
,悩む,Não,なやむ,"Phiền muội, lo lắng",父は腰痛で悩んでいる。,
,が慌てる,Hoảng,あわてる,"Luống cuống, vội vàng",学校に遅れそうになって、慌てて家を出た。,
,が覚める,Giác,さめる,"Tỉnh giấc, tỉnh dậy",昨夜は暑くて、夜中に何度も目が覚めた。,
,覚ます,Giác,さます,Làm cho tỉnh lại,目を覚ますと、もう10時だった。,
,夜中,Dạ trung,よなか,Giữa đêm,,
,が眠る,Miên,ねむる,Ngủ,入試の目の日、緊張してよく眠れなかった。,
,緊張する,Khẩn trương,きんちょうする,"Căng thẳng, lo lắng",,
,祈る,Kì,いのる,Cầu nguyện,家族の健康を神に祈った。,
,祝う,Chúc,いわう,Chúc mừng,（新年／誕生日／成功。。）を祝って乾杯した。,
,感じる,Cảm,かんじる,Cảm thấy,私のミスで試合に負けてしまい、責任を感じている。,
,濃い,Nùng,こい,"Nồng, đậm",（色／味／コーヒー。。。）が濃い。,
,薄い,Bạc,うすい,Nhạt mỏng mảnh dẻ,薄い本,
,酸っぱい,Toan,すっぱい,Chua,古い牛乳のパックを開けたら、酸っぱい匂いがした。,
,臭い,Xú,くさい,"Thối, tanh",なっとうは臭いから嫌いだという日本人も多い。,
,可笑しい,Khả tiếu,おかしい,Buồn cười,山本君は授業中にいつも可笑しいことを言ってみんなを笑わせる。,
,格好いい,Cách hảo,かっこいい,"Đẹp trai, bảnh bao",あの先生は格好いいので人気がある。,
,旨い,chỉ,うまい,Ngon,母は料理がうまい。,
,親しい,Thân,したしい,"Thân thiện, gần gũi",彼とは留学した大学が同じで親しくなった。,
,詳しい,Tường,くわしい,"Tường tận, tỉ mỉ",この地図はとても詳しい。,
,細かい,Tế,こまかい,"Chi tiết, chi li",新聞の字は細かくて、お年寄りには読みづらい。,
,浅い,Thiển,あさい,"Nông, cạn",この川は浅いので、子供が泳いでも危なくない。,
,硬い/固い,Ngạch/Cố,かたい,"Cứng, dai",瓶のふたが固くてなかなか開けない。,
,温い,Ôn,ぬるい,Nguội,ぬるいコーヒーは美味しくない。,
,眩しい,Huyễn,まぶしい,"Chói mắt, sáng chói",カーテンを開けたら、太陽が眩しかった,
,蒸し暑い,Chưng thử,むしあつい,Nóng ẩm,日本の夏は、蒸し暑い。,
,清潔（な）,Thanh khiết,せいけつ,"Thanh khiết, sạch sẽ",清潔な服を身につける。,
,新鮮（な）,Tân tiến,しんせん,"Tươi, mới",親善な魚は美味しい。,
,豊か（な）,Phong,ゆたか,Giàu có,この辺りは国でもっとも豊かな地方だ。,
,立派（な）,Lập phái,りっぱい,Siêu,立派な（人／仕事／成績。。。）,
,正確（な）,Chính xác,せいかく,Chính xác,正確な数は分からないが、この観客は5000人ぐらいだろう。,
,確か（な）,Xác,たしか,Xác thực,新聞は確かな事実だけを伝えなければならない。,
,重要（な）,Trọng yếu,じゅうよう,Trọng yếu,今日は午後から重要な会議がある。,
,必要（な）,Tất yếu,ひつよう,Cần thiết,子供に必要なのは親の温かい愛情だ。,
,勿体無い（な）,Vật thể vô,もったいない,"Lãng phí, hoang phí",流行遅れでもまだ着られる服を捨てるのはもったいない。,
,凄い,Thê,すごい,"Giỏi, xuất sắc kinh khủng",昨日の台風は凄かった。,
,酷い,Khốc,ひどい,"Kinh khủng, khủng khiếp",一人を大勢でいじめるとはひどい。,
,激しい,Kích,はげしい,Mãnh liệt,入試に失敗して、今まで勉強しなかったことを激しく後悔した。,
,そっくり（な）,,,Giống,兄は父に顔も声もそっくりした。,
,急（な）,cấp,きゅう,Gấp,急に歯が痛みだした。,
,適当（な）,Thích đương,てきとう,"Thích hợp, vừa phải",家庭教師を探しているが、適当な人がなかなかいない。,
,特別（な）,Đặc biệt,とくべつ,Đặc biệt,彼女には音楽家としての特別な才能がある。,
,完全（な）,Hoàn toàn,かんぜん,Hoàn toàn,土の中からの古代の器が完全な形で出てきた。,
,盛ん（な）,Thịnh,さかん,Thịnh vượng,私の故郷は農業が盛んだ。,
,様々（な）,Dạng,さまざま,Nhiều loại,インターネットから様々な情報が得られる。,
,可能（な）,Khả năng,かのう,Khả năng,この成績なら希望の大学に合格することは十分可能だ。,
,不可能（な）,Bất khả năng,ふかのう,Không khả thi,化学が進歩して、今まで不可能だったことも可能になった。,
,基本的（な）,Cơ bản đích,きほんてき,Tính cơ bản,パソコンの基本的な使い方はマニュアルに書いてある。,
,国際的（な）,Quốc tế đích,こくさいてき,Tính quốc tế,東京で国際的なアニメフェスティバルが開かれた。,
,ばらばら（な）,,,"Bừa bộn, lung tung",みんなの意見がばらばらで、なかなか結論が出ない。,
,ぼろぼろ（な）,,,Rách nát,ひどい目にあって身も心もぼろぼろになってしまった。,
,読書する,Độc thư,どくしょ,Đọc sách,趣味は読書だ。,
,演奏,Diễn tẫu,えんそう,"Trình diễn, biểu diễn",楽器を演奏する。,
,芸術,Nghệ thuật,げいじゅつ,Nghệ thuật,美術、音楽、文学、演劇などはみんな、芸術の一種であると言える。,
,検査する,Kiểm tra,検査する,Kiểm tra,病院で脳の検査を受けた。,
,胃,Vị,い,Dạ dày,胃の検査,
,血液,Huyết dịch,けつえき,Máu,体の中を血液が流れている。,
,流れる,Lưu,ながれる,"Chảy, trôi đi",,
,治療する,Trị liệu,ちりょうする,Trị liệu,病気を治療した。,
,症状,Chứng trạng,しょうじょう,Triệu chứng,風邪の症状は熱、咳、鼻水などだ。,
,鼻水,Tị thủy,はなみず,Nước mũi,,
,予防する,Dự phòng,よぼうする,Dự phòng,災害を予防する。,
,栄養,Vinh dưỡng,えいよう,Dinh dưỡng,健康のために栄養に気をつけましょう。,
,手術,Thủ thuật,しゅじゅつ,Phẫu thuật,胃の手術を受けた。,
,死亡する,Tử vong,しぼうする,Tử vong,死亡の原因を調べる。,
,命,Mệnh,いのち,Cuộc sống,命は大切にしなければならない。,
,一生,Sinh,いっしょう,"Cuộc đời, suốt đời",ピカソの一生を調べる。,
,誤解する,Ngộ giải,ごかいする,Hiểu nhầm,誤解がないようにするにはよく話し合うことが大切だ。,
,後悔,Hậu hối,こうかい,Hối hận,私は若い頃に勉強しなかったことをとても後悔している。,
,訳,Dịch,わけ,Lý do,遅刻した訳を話す。,
,態度,Thái độ,たいど,Thái độ,あの学生は授業中の態度が悪い。,
,癖,Phích,くせ,Thói quen,私の癖は困った時、頭をかくことだ。,
,礼儀,Lễ nghi,れいぎ,Lễ nghi,目上の人への礼儀,
,文句,Văn cú,もんく,"Kêu ca, phàn nàn",給料に文句がある。,
,表情,Biểu tình,ひょうじょう,Biểu tình,あの人は表情が豊かだ。,
,表面,Biểu diện,ひょうめん,"Bề ngoài, bề mặt",あのビルは表面にタイルが張っている。,
,禁煙する,Cấm yên,きんえんする,Cấm hút thuốc,”この部屋は禁煙だ”,
,禁止する,Cấm chỉ,きんしする,Cấm,美術館の中では写真を撮ることは禁止されている。,
,完成する,Hoàn thành,かんせいする,Hoàn thành,半年かけて論文を完成させた。,
,課題,Khóa đề,かだい,Chủ đề,現在の日本には高齢化、ゴミ問題など多くの課題がある。,
,例外,Lệ ngoại,れいがい,Ngoại lệ,どんな規則にも例外がある。,
,基本,Cơ bản,きほん,Cơ bản,何の練習でも基本が大切だ。,
,記録する,Kí lục,きろくする,"Ghi chép, ghi lại. kỉ lục",先週の会議の記録を読んだ。,
,状態,Trạng thái,じょうたい,Trạng thái,あの会社は今経営の状態が良くない。,
,出来事,Xuất lai sự,できごと,Việc đã xảy ra,毎日の出来事をブログに書く。,
,場面,Trường diện,ばめん,"Hiện trường, bối cảnh",目の前でトラックとバスが衝突した。その場面が夢に出て来た。,
,機会,Cơ hội,きかい,Cơ hội,彼女と二人で話したいのだが、なかなか機会がない。,
,距離,Cự ly,きょり,Cư ly,駅からの距離を測る。,
,提案する,Đề án,ていあんする,Đề xuất,会議で提案をする。,
,やり取りする,Thủ,やりとりする,Trao đổi,友達とメールをやり取りする。,
,知識,Tri thức,ちしき,Tri thức,本を読んで知識を身につける。,
,実力,Thực lực,じつりょく,Thực lực,試合で実力を出す。,
,手段,Thủ đoạn,しゅだん,"Phương pháp, thủ đoạn",問題を解決するために必要な手段をとる。,
,代表する,Đại biểu,だいひょうする,Đại biểu,クラスの代表として会議に参加する。,
,影響する,Ảnh hưởng,えいきょうする,Ảnh hưởng,両親の影響で私も子供の頃から絵を描き始めた。,
,効果,Hiệu quả,こうか,Hiệu quả,この薬を飲んだら、すぐに効果が出た。,
,印象,Ấn tượng,いんしょう,Ấn tượng,彼女と初めて会った時、優しそうな人だという印象を受けた。,
,印,Ấn,しるし,Dấu hiệu,地図の目的地に印をつける。,
,合図,Hợp đồ,あいず,Dấu hiệu,友達に目で合図を送る。,
,共通する,Cộng thông,きょうつうする,Điểm chung,二人の共通の趣味は音楽だ。,
,強調する,Cường điều,きょうちょうする,Nhấn mạnh,大事な点を強調して説明する。,
,大事,Đại sự,だいじ,Quan trọng,,
,説明する,Thuyết minh,せつめいする,Thuyết minh,,
,省略する,Tỉnh lược,しょうりゃくする,Lược bỏ,詳しく説明を省略して簡単に出す。,
,詳しい,Tường,くわしい,"Tường tận, cụ thể",,
,挑戦する,Thiêu chiến,ちょうせんする,"Khiêu chiến, thách thức",難しい課題に挑戦する。,
,やる気,Khí,やるき,Có hứng thú làm,ほめられて、やる気になる。,
,勇気,Dũng khí,ゆうき,Dũng khí,困難に立ち向かう勇気。,
,資格,Tư cách,しかく,Tư cách,弁護士の資格を取る。,
,弁護士,Biện hộ sĩ,べんごし,Luật sư,,
,申請する,Thân thỉnh,しんせいする,"Yêu cầu, thỉnh cầu",パスポートの申請,
,通帳,Thông trướng,つうちょう,Sổ tiết kiệm sổ tài khoản ngân hàng,通帳は貯金をする本人が作らなければならない。,
,貯金する,Trữ kim,ちょきんする,"Tiết kiệm, dành dụm",,
,本人,Bản nhân,ほんにん,Người chính,,
,契約する,Khế ước,けいやくする,Hợp đồng,アパートを２年間借りる契約した。,
,証明する,Chứng minh,しょうめいする,Chứng minh,銀行口座を開くには身分を証明するものが必要だ。,
,変更する,Biến canh,へんこうする,Sửa đổi,旅行先を沖縄から北海道に変更する。,
,保存する,Bảo tồn,ほぞんする,Bảo tồn,パソコンにデータを保存する。,
,保護する,Bảo hộ,ほごする,Bảo hộ,自然を保護する。,
,郊外,Giao ngoại,こうがい,Ngoại ô,都心より環境のいい郊外に住みたい。,
,都心,Đô tâm,としん,Trung tâm,,
,資源,Tư nguyên,しげん,Tài nguyên,資源に有効に利用する。,
,有効,Hữu hiệu,ゆうこう,Hữu hiệu,,
,不足する,Bất túc,ふそくする,Không đủ,野菜が不足した食事。,
,平均する,Bình quân,へいきんする,Trung bình,テストの点を平均する。,
,割合,Cát hợp,わりあい,Tỉ lệ,デパートの客は女性の割合が高い。,
,商売する,Thương mại,しょうばいする,Thương mại,父は衣料品の販売をしている。,
,商品,Thương phẩm,しょうひん,Sản phẩm,店に商品を並べる。,
,質,Chất,しつ,Chất,このメーカーの製品は質がいい。,
,型,Hình,かた,"Mẫu, khuôn",新しい型のパソコンを買った。,
,生産する,Sinh sản,せいさんする,Sản xuất,日本は農作物の生産が少ない。,
,農業,Nông nghiệp,のうぎょう,Nông nghiệp,,
,消費する,Tiêu phí,しょうひする,Tiêu phí,牛乳の消費が減っている。,
,物価,Vật giá,ぶっか,Giá cả,東京は物価が高い。,
,倒産する,Đảo sản,とうさんする,Phá sản,会社が倒産する。,
,携帯,Huề đới,けいたい,Cầm tay,外国人はいつも外国人登録証を携帯していなければならない。,
,現代,Hiện đại,げんだい,Hiện đại,現代は情報の時代だと言われている。,
,情報,Tình báo,じょうほう,Thông tin,,
,世紀,Thế kỉ,せいき,Thế kỉ,21世紀が始まった。,
,文化,Văn hóa,ぶんか,Văn hóa,文化が発達する。,
,都市,Đô thị,とし,Thành phố,都市に人口が集中する。,
,地方,Địa phương,ちほう,Địa phương,雨が多い地方では植物がよく育つ。,
,戦争する,Chiến tranh,せんそうする,Chiến tranh,A国とB国の間で戦争が起きた。,
,平和,Bình hòa,へいわ,Hòa bình,世界の平和を守る。,
,が上る,Thượng,のぼる,Leo lên,東京タワーに上る。,
,階段,Giai đoạn,かいだん,Cầu thang,階段を上る。,
,坂,Phản,さか,Dốc,坂を上る。,
,下る,Hạ,くだる,Đi xuống,（坂／川／山。。。）を下る。,
,が進む,Tiến,すすむ,Tiến lên,出口に向かって進む。,
,進める,tiến,すすめる,Đi tiến lên,”もう少し車を前に進めて下さい”,
,が通る,Thông,とおる,Đi qua,この道は車がたくさん通る。,
,通す,thông,とおす,Xuyên qua,カーテンを通して光が部屋に中に入っている。,
,光,Quang,ひかり,Ánh sáng,,
,布,Bố,ぬの,Vải,この布は空気は通すが水は通さない。,
,空気,Không khí,くうき,Không khí,,
,が越える/超える,Việt/Triệu,こえる,Vượt qua,汽車は夜中に国境を越えた。,
,が過ぎる,Quá,すぎる,Quá,列車は広島駅を過ぎた。,
,過ごす,Quá,すごす,Trải qua,大垣時代を東京で過ごした。,
,が移る,Di,うつる,Di chuyển,黒板の字が見えにくかったので、前の席に移った。,
,移す,Di,うつす,Chuyển,本社を大阪から東京に移した。,
,本社,Bản xã,ほんしゃ,Trụ sở chính,,
,連れる,Liên,つれる,"Dẫn, dắt",子供を動物園へ連れて行った。,
,が寄る,Kỳ,よる,Ghé thăm,窓のそばに寄って外を見た。,
,寄せる,Kỳ,よせる,Ghé vào,地震の時は車を道の左側に寄せて止めなけれはならない。,
,奨学金,Tưởng học kim,しょうがくきん,Học bổng,成績の良い学生に奨学金を与える。,
,成績,Thành tích,せいせき,Thành tích,,
,与える,Dữ,あたえる,"Cung cấp, đưa",犬に餌を与える。,
,得る,Đắc,える,Đạt được,会議では司会者から許可を得てからでなければ発信してはいけない。,
,が向く,Hướng,むく,Đối diện,私の部屋は東南に向いている。,
,向ける,Hướng,むける,"Quay, hướng đến",顔を右に向ける。,
,勧める,Khuyến,すすめる,"Mời, rủ, gợi ý",ダイエットしている友人に一緒にウォーキングをしようと勧めた。,
,薦める,Tiến,すすめる,"Gợi ý, giới thiệu",先生に勧められた本を買った。,
,任せる,Nhiệm,まかせる,Để cho ai làm gì,責任の重い仕事を新人に任せてみた。,
,守る,Thủ,まもる,"Giữ, tuân thủ",（法律／規則／ルール。。）を守る。,
,争う,Tranh,あらそう,"Gây gổ, tranh nhau",あの兄弟はいつも小さなことで争っている。,
,望む,Vọng,のぞむ,Ước,卒業後は教師になることを望んでいる。,
,信じる,Tín,しんじる,Tin tưởng,頑張れば成功すると信じている。,
,が　通じる,Thông,つうじる,Thông qua,日本に来た時、私の日本語が通じるかどうか心配だった。,
,飽く,Bão,あく,Chán,好きな物でも、毎日食べると飽きてしまう。,
,思いつく,Tư,おもいつく,Nghĩ,（アイディア／考え／方法。。）が思いつく。,
,思いやる,Tư,おもいやる,"Quan tâm, thông cảm",父親の言葉が厳しかったが、その言葉には子供を思いやる気持ちが表れていた。,
,熱中する,Nhiệt trung,ねっちゅうする,Nghiện (karaoke),母は今カラオケに熱中している。,
,暮らす,Mộ,くらす,Sinh sống,都会で暮らすのは便利だが、お金がかかる。,
,巻く,Quyển,まく,Quấn,マフラーに首に巻く。,
,結ぶ,Kết,むすぶ,Buộc,髪をリボンで結ぶ。,
,紐,Nữu,ひも,Dây,靴のひもを結ぶ。,
,が済む,Tế,すむ,Kết thúc,仕事が済んだらすぐ帰る。,
,済ます,Tế,すます,Kết thúc,朝はパンと牛乳で済ます。,
,出来る,Xuất lai,できる,"Hoàn thành, có thể",駅前に新しいスーパーが出来た。,
,切れる,Thiết,きれる,"Cắt, hết",このはさみはよく切れる。,
,切らす,Thiết,きらす,Hết mất tiêu,うっかりしていてトイレペーパーを切らしてしまった。,
,が伝わる,Truyền,つたわる,Truyền đi,彼が結婚すると言ううわさが伝わってきた。,
,伝える,Truyền,つたえる,Truyền đi nhắn dạy dỗ,電話で用事を伝える。,
,が続く,Tục,つづく,Tiếp tục,美しい砂浜が続いている。,
,続ける,Tục,つづける,Tiếp tục còn lằng nhằng,もう３時間も会議を続けている。,
,が繋がる,Hệ,つながる,Kết nối buộc vào liên hệ,本州と四国は橋で繋がっている。,
,繋ぐ,Hệ,つなぐ,Kết nối,この橋は本州と四国を繋いでいる。,
,繋げる,Hệ,つなげる,Làm chặt thêm,このチャンスをぜひ成功に繋げたい。,
,伸びる,Thân,のびる,"Cao lên, phát triển lên",（畝／髪／ひげ。。。）が伸びる。,
,伸ばす,Thân,のばす,Làm cao/phát triển lên,アイロンをかけてしわを伸ばす。,
,延びる,Duyên,のびる,Trì hoãn,レポートの締め切りが伸びて良かった。,
,延ばす,Duyên,のばす,Hoãn,チケットが取れなかったので帰国の日を延ばした。,
,が重なる,Trọng,かさなる,Chồng lên chồng chất,印刷したら、紙が２枚重なって出てきた。,
,重ねる,Trọng,かさねる,Chồng,皿を重ねて置いておく。,
,が広がる,Quảng,ひろがる,Rộng,道幅が広がって、歩きやすくなった。,
,広げる,Quảng,ひろげる,Mở rộng,お客様が増えているので、もっと店を広げたい。,
,が載る,Tải,のる,"Lên, vừa",この荷物は大きすぎて、私の車には乗らないだろう。,
,載せる,Tải,のせる,"Cho lên, cho vào",棚に荷物を乗せる。,
,が　揃う,Tiễn,そろう,Thu thập,”全員が揃ったら出発しましょう”,
,揃える,Tiễn,そろえる,Tập hợp,マージャンをするため、メンバーをそろえた。,
,が　纏まる,Triền,まとまる,"Tập hợp, thống nhất",３時間話し合って、やっとクラスの意見が纏まった。,
,纏める,Triền,まとめる,Tập hợp,引っ越しの前にいらなくなった物を纏めて捨てた。,
,が付く,Phó,つく,"Dính, gắn, có",怪我をしてシャツに血がついた。,
,付ける,Phó,つける,"Gắn, thêm vào",パンにジャムをつける。,
,が貯まる,Trữ,たまる,Tiết kiệm,（お金／水／ゴミ。。。）が貯まる。,
,貯める,Trữ,ためる,Tiết kiệm,宿題をためてしまい、休みの最後の日にまとめてやった。,
,が交じる/混じる,Giao/Hỗn,まじる,"Giao vào, lẫn vào",女の子が男の子に交じってサッカーをしている。,
,が交ざる/混ざる,Giao/Hỗn,まざる,Lẫn vào,男性が混ざってサッカーをした。,
,交ぜる/混ぜる,Giao/Hỗn,まぜる,Trộn vào,お米に豆を混ぜてたいた。,
,が溶ける/解ける,Dong/Giải,とける,"Giải quyết, giải đông chảy tan ra",3時間かかって、やっと問題が解けた。,
,解く/溶く/溶かす,Dong/Giải,とく/とかす,"Giải quyết, giải đông",数学の問題を解く。,
,含む,Hàm,ふくむ,Bao gồm,レモンはビタミンCを多く含んでいる。,
,含める,Hàm,ふくめる,Bao gồm,うちの家族は私を含めて５人です。,
,が　抜ける,Bạt,ぬける,"Tháo, tuột",髪の毛が抜ける。,
,抜く,Bạt,ぬく,Lấy ra,ビールの栓を抜く。,
,が現れる,Hiện,あらわれる,"Xuất hiện, hiện ra",犯人はお金を取りに現れたところを逮捕された。,
,現す,Hiện,あらわす,Đã xuất hiện,雲がなくなって富士山が姿を現した。,
,が表れる,Biểu,あらわれる,Hiện ra,彼の顔には合格した喜びが表れていた。,
,表す,Biểu,あらわす,"Biểu thị, biểu lộ",気持ちを言葉で表す。,
,が散る,Tàn,ちる,Tàn,風で桜が散ってしまった。,
,散らす,Tàn,ちらす,Tàn,風が桜を散らしてしまった。,
,差す,Sai,さす,"Giương, giơ",雨がやんで日がさしてきた。,
,時間,thời gian,じかん,thời gian,,
,現在,hiện tại,げんざい,hiện tai,,
,将来の夢,tương lai mộng,しょうらいのゆめ,ước mơ của tương lai,,
,早朝,tảo triều,そうちょう,sáng sớm,,
,昼間は暖かい,trú gian noãn,ひるまはあたたかい,sự ấm áp của buổi trưa,,
,にっちゅう,nhật trung,にっちゅう,ban ngày,,
,夜中,dạ trung,やちゅう,ban đêm,,
,真夜中,chân dạ trung,まよなか,nữa đêm,,
,深夜,thâm dạ,しんや,nửa đêm,,
,平日,bình nhật,へいじつ,ngày thường,,
,休日,hưu nhật,きゅうじつ,ngày nghỉ,,
,祝日,lễ nhật,しゅくじつ,ngày lễ,,
,年末年始,niên mạt niên thủy,ねんまつねんし,đầu năm cuối năm,,
,上旬,thượng tuần,じょうじゅん,thượng tuần 10 ngày đầu tháng,,
,初旬,sơ tuần,しょじゅ,thượng tuần 10 ngày đầu tháng,,
,中旬,trung tuần,ちゅうじゅ,trung tuần 10 ngày giữa tháng,,
,下旬,hạ tuần,げじゅん,hạ tuần 10 ngày cuối tháng,,
,連休,liên hưu,れんきゅう,kì nghỉ dài,,
,お盆休み,bồn hưu,おぼんやすみ,nghỉ lễ obon,,
,年中無休,niên trung vô hưu,ねんちゅうむきゅう,cả năm không nghỉ,,
,家族,gia tộc,かぞく,gia định,,
,父親,phụ thân,ちちおや,phụ thân,,
,母親,mẫu thân,ははおや,mẫu thân,,
,親,thân,おや,cha mẹ,,
,両親,lưỡng thân,りょうしん,cha mẹ,,
,祖父,tổ phụ,そふ,ông,,
,祖母,tổ mẫu,そぼ,bà,,
,叔父,thúc phụ,おじ,"bác ,chú, cậu",,
,叔母,thúc mẫu,おば,bác cô dì,,
,息子,tức tử,むすこ,con trai,,
,娘,nương,むすめ,con gái,,
,姪,điệt,めい,cháu gái,,
,甥,sanh,おい,cháu trai,,
,孫,tôn,まご,cháu( nói chung cách ông bà gọi),,
,嫁,giá,よめ,con dâu,,
,長男,trường nam,ちょうなん,trưởng nam con trai cả,,
,次男,thứ nam,じなん,thứ nam,,
,三男,tam nam,さんなん,con trai thứ 3,,
,長女,trưởng nữ,ちょうじょ,trưởng nữ con gái đầu,,
,次女,thứ nữ,じじょ,thứ nữ,,
,三女,tam nữ,さんじょ,con gái thứ 3,,
,親戚,thân thích,しんせき,thân thích thân thuộc thân quen,,
,親類,thân loại,しんるい,họ hàng,,
,友人,hữu nhân,ゆうじん,bạn thân,,
,知人,tri nhân,ちじん,người quen,,
,知り合い,tri hợp,しりあい,người quen,,
,先輩,tiền bối,せんぱい,tiền bối,,
,後輩,hậu bối,こうはい,hậu bối,,
,上司,thượng khả,じょうし,cấp trên,,
,部下,bộ hạ,ぶか,bền dưới cấp dưới,,
,同僚,đồng niêu,どうりょう,bạn đồng nghiệp,,
,仲間,trọng gian,まなか,bạn bè bạn cùng cty,,
,同級生,đồng cấp sinh,どうきゅうせい,bạn học cùng lớp,,
,家庭,gia đình,かてい,gia đình,,
,家,gia,うち,nhà,,
,実家,thực gia,じっか,nhà riêng( nhà của bố mẹ đẻ),,
,独身,độc thân,どくしん,độc thân,,
,食べる,thực,たべる,ăn,,
,飲む,ẩm,のむ,uống,,
,噛む,giảo,かむ,cắn,,
,齧る,niết,かじる,ngoạm gặm nhấm,,
,舐める,thỉ,なめる,liếm,,
,食事を取る,thực sự thụ,しょくじをとる,"ăn uống,dùng bữa",,
,酔う,túy,よう,say,,
,酔っ払う,túy phất,よっぱらう,say rượu bia,,
,朝食,triều thực,ちょうしょく,bữa sáng,,
,朝ごはん,triều,あさごはん,bữa sáng,,
,昼食,trú thực,ちゅうしょく,bữa trưa,,
,昼ごはん,trú,ひるごはん,bữa trưa,,
,夕食,tịch thực,ゆうしょく,bữa tối,,
,晩ごはん,văn,ばんごはん,bữa tối,,
,おやつ,,,đồ nhắm đồ ăn vặt,,
,夜食,dạ thưc,やしょく,ăn đêm,,
